Number of items, Bubble Sort, Quick Sort, Heap Sort, Insertion Sort, Merge Sort,
5360,140203.6,466.2,4896.6,19121.4,532.73333, 
5410,146548.2,432.7,4917.03333,18721.4,599.33333, 
5460,147053.8,499.43333,5163.06667,18954.53333,632.73333, 
5510,150404.5667,499.43333,5029.76667,19673.43333,699, 
5560,150774.3333,433.16667,5029.33333,19820.66667,632.63333, 
5610,155100.3,466.2,5196.03333,19754.36667,532.8, 
5660,157989.9667,432.93333,5462.76667,21838.16667,599.26667, 
5710,158771.9667,466.13333,5196.36667,20541.16667,532.8, 
5760,166496.5667,499.46667,5329.7,20986.63333,665.96667, 
5810,177234.2,499.56667,5562.86667,21738.83333,765.86667, 
5860,178790.6,466.16667,5396.2,22319.06667,499.53333, 
5910,173898.0333,632.56667,5529.46667,23086.1,665.96667, 
5960,178859.6333,499.5,5929.3,22177.3,566.1, 
6010,177811.2,466.16667,5396.16667,23181.56667,632.7, 
6060,181657.4333,432.9,5429.66667,23037.86667,897.06667, 
6110,190469.1667,466.2,5862.56667,23818.5,620.53333, 
6160,189304.2333,965.8,6328.96667,24678.36667,699.03333, 
6210,200603.9,532.76667,5696.16667,24937.06667,633, 
6260,192674.5,499.43333,5995.86667,25603.86667,666.23333, 
6310,193732.5,432.93333,5729.33333,24477.6,766.13333, 
6360,198521.7,466.13333,5629.4,25684.03333,632.7, 
6410,196735.6667,532.7,5896.03333,26808.73333,699.3, 
6460,203347.9667,566.16667,6363.36667,28530.33333,664.96667, 
6510,219564.3667,532.76667,6595.36667,28382.36667,832.53333, 
6560,220126.7333,566.13333,5947.8,28445.06667,732.6, 
6610,217638.3,532.73333,5862.86667,27866,732.66667, 
6660,220848.6333,499.46667,5862.2,28220.7,632.7, 
6710,224178.3667,532.86667,6428.93333,28704.66667,699.26667, 
6760,231463.2,499.46667,7494.96667,29669.56667,732.56667, 
6810,229193.1667,765.9,6795.16667,30137.16667,665.93333, 
6860,231173.9667,632.66667,6495.63333,30314.06667,632.66667, 
6910,232423.7,565.9,6695.43333,29299.26667,732.63333, 
6960,234585.8667,466.2,7463.46667,29959.36667,666, 
7010,236908.4,699.93333,6347,30669.4,799.2, 
7060,239849.8667,599.4,6395.6,30492.46667,699.3, 
7110,242944.6667,599.4,6528.93333,31896.73333,699.33333, 
7160,246872.1,699.26667,6728.8,31466.53333,765.96667, 
7210,250189.6,666.03333,6845.66667,33296.9,732.56667, 
7260,265955.5333,632.7,6665.2,33905.53333,432.93333, 
7310,266583.9,532.73333,6895.3,38962.26667,832.46667, 
7360,268708.8667,732.6,7061.8,36077.3,765.93333, 
7410,266412.6667,599.4,6817.5,34611.83333,799.13333, 
7460,295610.6667,665.96667,7133.53333,38298.8,566.06667, 
7510,277003.8333,699.26667,7294.76667,35501.6,832.46667, 
7560,282494.5667,632.7,7328.43333,36760.83333,732.56667, 
7610,280483.1667,632.66667,6961.93333,36461.9,765.76667, 
7660,283170.2333,599.43333,8251.4,37643.23333,965.63333, 
7710,301485.8667,688.36667,8394.3,39717.9,832.46667, 
7760,296916,799.16667,8860.86667,43611.66667,898.9, 
7810,299785.0667,699.26667,7461.63333,38466.96667,999, 
7860,311985.2,666.03333,7328.46667,38311.66667,699.26667, 
7910,301711.6667,532.86667,7461.83333,38662.5,1001.06667, 
7960,326208.7333,632.63333,7354.16667,38895.13333,799.16667, 
